persona,top_schooling,top_technologies,level_distribution
1,"['ensino_superior_completo: 50.0%', 'ensino_superior_incompleto: 50.0%']","['python: 55.6%', 'html: 22.2%', 'node_js: 11.1%']","['Iniciante: 100.0%', 'Estagiário: 0.0%', 'Júnior: 0.0%', 'Pleno: 0.0%', 'Sênior: 0.0%', 'Especialista: 0.0%', 'Liderança: 0.0%', 'Outro: 0.0%', 'Não informado: 0.0%']"
2,"['ensino_superior_incompleto: 60.0%', 'ensino_superior_completo: 20.0%', 'cursos_tecnicos: 20.0%']","['html: 13.5%', 'css: 10.8%', 'sql: 9.5%']","['Iniciante: 50.0%', 'Júnior: 50.0%', 'Estagiário: 0.0%', 'Pleno: 0.0%', 'Sênior: 0.0%', 'Especialista: 0.0%', 'Liderança: 0.0%', 'Outro: 0.0%', 'Não informado: 0.0%']"
3,"['ensino_superior_completo: 54.5%', 'ensino_medio: 45.5%']","['html: 23.8%', 'css: 23.8%', 'javascript: 14.3%']","['Iniciante: 63.6%', 'Pleno: 18.2%', 'Júnior: 9.1%', 'Especialista: 9.1%', 'Estagiário: 0.0%', 'Sênior: 0.0%', 'Liderança: 0.0%', 'Outro: 0.0%', 'Não informado: 0.0%']"
4,"['ensino_superior_incompleto: 77.8%', 'ensino_superior_completo: 11.1%', 'cursos_tecnicos: 11.1%']","['python: 25.0%', 'html: 12.5%', 'css: 9.4%']","['Pleno: 77.8%', 'Júnior: 22.2%', 'Iniciante: 0.0%', 'Estagiário: 0.0%', 'Sênior: 0.0%', 'Especialista: 0.0%', 'Liderança: 0.0%', 'Outro: 0.0%', 'Não informado: 0.0%']"
